StateCode,SectorCode,PredictedMPCE,ActualMPCE,StateName,SectorName
35,1,5905.551382,6490.858236,Andaman and Nicobar Islands,Rural
35,2,9591.815202,11203.44008,Andaman and Nicobar Islands,Urban
28,1,4771.993312,4932.893572,Andhra Pradesh,Rural
28,2,6675.738367,6721.578035,Andhra Pradesh,Urban
12,1,5305.664005,5314.276749,Arunachal Pradesh,Rural
12,2,8391.703552,8584.118618,Arunachal Pradesh,Urban
18,1,3456.708261,3428.232842,Assam,Rural
18,2,6039.824922,6127.511933,Assam,Urban
10,1,3304.014525,3295.153488,Bihar,Rural
10,2,4655.729486,4762.770307,Bihar,Urban
4,1,6411.921687,7186.344051,Chandigarh,Rural
4,2,11189.49073,11949.82474,Chandigarh,Urban
22,1,2522.837857,2455.481788,Chhattisgarh,Rural
22,2,4745.371967,4511.747787,Chhattisgarh,Urban
25,1,4195.516985,4043.835269,Dadra & Nagar Haveli and Daman & Diu,Rural
25,2,6229.458188,6489.393849,Dadra & Nagar Haveli and Daman & Diu,Urban
7,1,6417.821684,6303.889244,Delhi,Rural
7,2,8330.633501,8503.90341,Delhi,Urban
30,1,6788.118095,7127.550543,Goa,Rural
30,2,8125.112845,8407.659439,Goa,Urban
24,1,3850.27088,3806.594566,Gujarat,Rural
24,2,6652.147444,6439.344609,Gujarat,Urban
6,1,4934.868198,5013.535556,Haryana,Rural
6,2,7601.596214,7717.683682,Haryana,Urban
2,1,5599.544687,5539.876286,Himachal Pradesh,Rural
2,2,8513.112199,7608.121125,Himachal Pradesh,Urban
1,1,4185.029596,4147.937493,Jammu and Kashmir,Rural
1,2,6598.643756,6122.973283,Jammu and Kashmir,Urban
20,1,2739.128094,2640.529433,Jharkhand,Rural
20,2,4770.581979,4379.068881,Jharkhand,Urban
29,1,4397.472641,4395.869869,Karnataka,Rural
29,2,7623.351714,7680.952493,Karnataka,Urban
32,1,6173.035741,5986.580632,Kerala,Rural
32,2,7190.508833,6873.776351,Kerala,Urban
36,1,4802.30734,4876.750365,Ladakh,Rural
36,2,7873.281289,7817.099157,Ladakh,Urban
31,1,5405.341002,5479.594589,Lakshadweep,Rural
31,2,5775.621768,5529.161592,Lakshadweep,Urban
23,1,3146.543605,3118.164346,Madhya Pradesh,Rural
23,2,5204.017915,5093.97798,Madhya Pradesh,Urban
27,1,3991.719181,4015.763477,Maharashtra,Rural
27,2,6624.789206,6484.828346,Maharashtra,Urban
14,1,4487.414179,4403.261393,Manipur,Rural
14,2,5134.065574,4730.707557,Manipur,Urban
17,1,3584.223514,3545.09186,Meghalaya,Rural
17,2,6472.393531,6709.525645,Meghalaya,Urban
15,1,5488.241424,5660.826423,Mizoram,Rural
15,2,8126.648057,7861.337817,Mizoram,Urban
13,1,4566.833976,4556.487518,Nagaland,Rural
13,2,6697.583083,6726.37908,Nagaland,Urban
21,1,3034.200969,2986.785588,Odisha,Rural
21,2,5455.283058,4984.2729,Odisha,Urban
34,1,6399.154654,6543.904699,Puducherry,Rural
34,2,7566.264508,7297.36706,Puducherry,Urban
3,1,5471.158804,5404.789201,Punjab,Rural
3,2,6702.689561,6615.342632,Punjab,Urban
8,1,4218.4326,4188.445226,Rajasthan,Rural
8,2,6086.534513,5857.392849,Rajasthan,Urban
11,1,7675.680195,7681.300333,Sikkim,Rural
11,2,12014.92852,11799.53155,Sikkim,Urban
33,1,5380.101367,5325.192644,Tamil Nadu,Rural
33,2,7643.583944,7827.913953,Tamil Nadu,Urban
37,1,3967.776366,3898.972063,Telangana,Rural
37,2,6227.765327,5903.129145,Telangana,Urban
16,1,5240.297929,5139.870162,Tripura,Rural
16,2,6920.178463,7269.06955,Tripura,Urban
9,1,3154.194659,3179.997435,Uttar Pradesh,Rural
9,2,5230.331865,5047.967723,Uttar Pradesh,Urban
5,1,4527.108979,4591.909169,Uttarakhand,Rural
5,2,7319.810561,7327.733131,Uttarakhand,Urban
19,1,3209.11104,3242.72111,West Bengal,Rural
19,2,5339.080834,5369.75879,West Bengal,Urban
38,1,3781.267711,3777.269974,India,Rural
39,2,6478.184193,6402.476639,India,Urban
